Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par EPCI,,,,
,,,,
,,,,
Siren EPCI,Champ,T3 2017,T4 2017,T1 2018
200041614,Locaux Raccordables,0,0,0
200041614,Catégorie,0,0,0
200041622,Locaux Raccordables,0,0,0
200041622,Catégorie,0,0,0
200041630,Locaux Raccordables,13867,16342,17815
200041630,Catégorie,10,10,25
200041689,Locaux Raccordables,0,0,0
200041689,Catégorie,0,0,0
200041721,Locaux Raccordables,0,0,0
200041721,Catégorie,0,0,0
200041762,Locaux Raccordables,3169,4419,4863
200041762,Catégorie,5,10,10
200041788,Locaux Raccordables,0,0,0
200041788,Catégorie,0,0,0
200041853,Locaux Raccordables,0,0,0
200041853,Catégorie,0,0,0
200041861,Locaux Raccordables,0,0,0
200041861,Catégorie,0,0,0
200041879,Locaux Raccordables,0,0,0
200041879,Catégorie,0,0,0
200041887,Locaux Raccordables,0,0,0
200041887,Catégorie,0,0,0
200041960,Locaux Raccordables,852,4794,7651
200041960,Catégorie,5,10,10
200041994,Locaux Raccordables,0,0,0
200041994,Catégorie,0,0,0
200042000,Locaux Raccordables,0,0,0
200042000,Catégorie,0,0,0
200042174,Locaux Raccordables,26726,29326,33307
200042174,Catégorie,10,25,25
200042182,Locaux Raccordables,0,0,0
200042182,Catégorie,0,0,0
200042190,Locaux Raccordables,0,13,4563
200042190,Catégorie,0,5,5
200042372,Locaux Raccordables,0,0,0
200042372,Catégorie,0,0,0
200042414,Locaux Raccordables,0,0,0
200042414,Catégorie,0,0,0
200042463,Locaux Raccordables,0,0,0
200042463,Catégorie,0,0,0
200042497,Locaux Raccordables,3058,3139,3158
200042497,Catégorie,10,10,10
200042604,Locaux Raccordables,0,0,0
200042604,Catégorie,0,0,0
200042620,Locaux Raccordables,0,0,0
200042620,Catégorie,0,0,0
200042646,Locaux Raccordables,0,0,0
200042646,Catégorie,0,0,0
200042653,Locaux Raccordables,0,0,0
200042653,Catégorie,0,0,0
200042703,Locaux Raccordables,0,0,0
200042703,Catégorie,0,0,0
200042729,Locaux Raccordables,0,0,0
200042729,Catégorie,0,0,0
200042901,Locaux Raccordables,1166,1166,1166
200042901,Catégorie,5,5,5
200042935,Locaux Raccordables,8230,8350,9393
200042935,Catégorie,25,25,25
200042943,Locaux Raccordables,0,0,0
200042943,Catégorie,0,0,0
200042992,Locaux Raccordables,0,0,0
200042992,Catégorie,0,0,0
200043016,Locaux Raccordables,0,0,0
200043016,Catégorie,0,0,0
200043065,Locaux Raccordables,0,0,0
200043065,Catégorie,0,0,0
200043081,Locaux Raccordables,0,0,0
200043081,Catégorie,0,0,0
200043123,Locaux Raccordables,6615,7168,7776
200043123,Catégorie,5,10,10
200043156,Locaux Raccordables,0,0,0
200043156,Catégorie,0,0,0
200043172,Locaux Raccordables,10543,11455,12296
200043172,Catégorie,10,10,10
200043263,Locaux Raccordables,0,0,0
200043263,Catégorie,0,0,0
200043321,Locaux Raccordables,0,0,0
200043321,Catégorie,0,0,0
200043354,Locaux Raccordables,0,293,456
200043354,Catégorie,0,5,5
200043396,Locaux Raccordables,3551,5152,7536
200043396,Catégorie,5,5,10
200043404,Locaux Raccordables,0,0,0
200043404,Catégorie,0,0,0
200043438,Locaux Raccordables,0,0,0
200043438,Catégorie,0,0,0
200043495,Locaux Raccordables,77,266,578
200043495,Catégorie,5,5,5
200043602,Locaux Raccordables,0,0,0
200043602,Catégorie,0,0,0
200043628,Locaux Raccordables,0,0,0
200043628,Catégorie,0,0,0
200043693,Locaux Raccordables,0,0,0
200043693,Catégorie,0,0,0
200043776,Locaux Raccordables,0,0,0
200043776,Catégorie,0,0,0
200043974,Locaux Raccordables,0,0,0
200043974,Catégorie,0,0,0
200043982,Locaux Raccordables,0,0,0
200043982,Catégorie,0,0,0
200043990,Locaux Raccordables,0,0,0
200043990,Catégorie,0,0,0
200044014,Locaux Raccordables,0,0,0
200044014,Catégorie,0,0,0
200044030,Locaux Raccordables,0,0,0
200044030,Catégorie,0,0,0
200044048,Locaux Raccordables,9,2316,2390
200044048,Catégorie,5,10,10
200044253,Locaux Raccordables,0,0,0
200044253,Catégorie,0,0,0
200044394,Locaux Raccordables,0,0,0
200044394,Catégorie,0,0,0
200044469,Locaux Raccordables,0,0,0
200044469,Catégorie,0,0,0
200044618,Locaux Raccordables,5793,7115,9020
200044618,Catégorie,5,5,10
200044691,Locaux Raccordables,0,0,0
200044691,Catégorie,0,0,0
200046977,Locaux Raccordables,506870,532009,555322
200046977,Catégorie,50,50,50
200048551,Locaux Raccordables,0,0,0
200048551,Catégorie,0,0,0
200049187,Locaux Raccordables,1160,1199,1493
200049187,Catégorie,5,5,5
200049211,Locaux Raccordables,0,0,0
200049211,Catégorie,0,0,0
200049484,Locaux Raccordables,0,0,1
200049484,Catégorie,0,0,5
200050532,Locaux Raccordables,0,0,0
200050532,Catégorie,0,0,0
200054781,Locaux Raccordables,2785444,2859160,2962443
200054781,Catégorie,50,50,50
200054807,Locaux Raccordables,339584,347403,358291
200054807,Catégorie,25,25,25
200055481,Locaux Raccordables,0,0,0
200055481,Catégorie,0,0,0
200055655,Locaux Raccordables,45920,52468,57096
200055655,Catégorie,25,25,25
200055887,Locaux Raccordables,0,0,0
200055887,Catégorie,0,0,0
200056232,Locaux Raccordables,103576,109041,113294
200056232,Catégorie,50,50,80
200056380,Locaux Raccordables,31873,36729,40107
200056380,Catégorie,25,25,25
