Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200042174,CA Lorient Agglomération, 111 794    , 5 468    
200042182,CC du Mont des Avaloirs, 10 280    , 424    
200042190,CA de la Porte du Hainaut, 68 387    , 2 474    
200042372,CC des Coteaux Arrats Gimone, 5 464    , 331    
200042414,CC Bresse Revermont 71, 5 687    , 220    
200042463,CC de la Montagne Noire, 4 414    , 115    
200042497,CC Dombes Saône Vallée, 14 729    , 812    
200042604,"CC de Granville, Terre et Mer", 32 374    , 1 354    
200042620,CC de la Région de Suippes, 3 274    , 203    
200042646,CC Grand Orb CC en Languedoc, 15 472    , 540    
200042653,CC Sud-Hérault, 10 683    , 444    
200042703,CC de l'Argonne Champenoise, 6 590    , 411    
200042729,CC de la Baie du Cotentin, 12 503    , 646    
200042901,CC Drôme Sud Provence, 19 944    , 1 232    
200042935,CA Haut - Bugey Agglomération, 27 732    , 1 887    
200042943,CC du Cap Corse, 7 561    , 202    
200042992,CC Perthois-Bocage et Der, 3 040    , 143    
200043016,CC Val de Charente, 8 777    , 458    
200043065,CC du Val d'Amboise, 13 906    , 781    
200043081,"CC Chinon, Vienne et Loire", 13 020    , 758    
200043123,CC Auray Quiberon Terre Atlantique, 66 486    , 2 624    
200043156,CC du Pays Rethélois, 13 984    , 862    
200043172,CA du Bassin de Brive, 59 560    , 3 392    
200043263,CC Coeur de l'Avesnois, 14 504    , 660    
200043321,CC du Pays de Mormal, 21 590    , 880    
200043354,CC de Villedieu Intercom, 8 987    , 451    
200043396,CA Maubeuge Val de Sambre, 56 883    , 2 223    
200043404,CC du Sud Avesnois, 12 576    , 474    
200043438,CC de la Moivre à la Coole, 3 988    , 246    
200043495,CA du Pays de Laon, 21 903    , 1 209    
200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris", 48 267    , 1 614    
200043628,CC des Vallées du Clain, 11 165    , 465    
200043693,CC Terre Lorraine du Longuyonnais, 7 592    , 235    
200043776,CC Pyrénées Audoises, 13 321    , 412    
200043974,CC du Sud Gironde, 18 770    , 1 178    
200043982,CC du Bazadais, 8 297    , 411    
200043990,CC Vallons de Haute-Bretagne Communauté, 19 582    , 766    
200044014,CC Creuse Grand Sud, 9 510    , 426    
200044030,CC des Sept Vallées, 15 213    , 801    
200044048,CC Osartis Marquion, 17 948    , 765    
200044253,CC du Bassin de Joinville en Champagne, 7 475    , 314    
200044394,CC du Réolais en Sud Gironde, 11 567    , 713    
200044469,CC du Pays de Mirepoix, 6 369    , 269    
200044618,CA du Douaisis (C.A.D.), 68 171    , 3 060    
200044691,CA du Nord Grande Terre, 31 278    , 997    
200046977,Métropole de LYON, 674 705    , 44 386    
200048551,CC du Pays de Craon, 13 463    , 747    
200049187,CA du Grand Verdun, 14 987    , 957    
200049211,CC Conflent-Canigó, 16 306    , 540    
200049484,CC Berry Grand Sud, 9 114    , 364    
200050532,CC de Petite-Terre, 6 266    , -    
200054781,Métropole du Grand Paris, 3 498 707    , 272 399    
200054807,Métropole d'Aix-Marseille-Provence, 911 652    , 54 899    
200055481,CC Beauce Val de Loire, 10 032    , 458    
200055655,CA Roissy Pays de France, 128 175    , 8 345    
200055887,CC Mayenne Communauté, 18 898    , 976    
200056232,CA Communauté Paris-Saclay, 132 272    , 7 741    
200056380,CA Plaine Vallée, 77 290    , 3 854    
200057859,CA Coeur d'Essonne Agglomération, 78 909    , 3 835    
200057958,CA Paris - Vallée de la Marne, 90 497    , 5 025    
200058360,CC Entre Beauce et Perche, 9 882    , 448    
200058477,CA Val d'Yerres Val de Seine, 73 056    , 2 768    
200058485,CA Val Parisis, 110 117    , 5 247    
200058519,CA Saint-Germain Boucles de Seine, 147 738    , 7 775    
200058782,CA de Saint-Quentin-en-Yvelines, 92 132    , 5 456    
200059228,CA Grand Paris Sud Seine Essonne Sénart, 136 102    , 7 756    
200059392,CC Bièvre Isère, 24 511    , 1 255    
200059400,CC Porte Océane du Limousin, 14 277    , 667    
200059871,CC du Centre-Ouest, 12 217    , -    
200059889,CU Grand Paris Seine et Oise, 168 215    , 7 975    
200060010,CA Mauges Communauté, 51 568    , 2 922    
200060457,CA de Dembeni / Mamoudzou, 19 345    , -    
200060465,CC du Nord de Mayotte, 13 799    , -    
200060473,CC du Sud, 8 449    , -    
200065563,CC Normandie-Cabourg-Pays d'Auge, 32 530    , 949    
200065589,CC Val Ès Dunes, 6 959    , 350    
200065597,CU Caen la Mer, 136 956    , 8 475    
200065647,CA Pays de Montbéliard Agglomération, 68 438    , 2 991    
200065787,CC de Pont-Audemer / Val de Risle, 13 999    , 733    
200065886,CA Loire Forez Agglomération Lfa, 54 158    , 2 674    
200065894,CC de Forez-Est, 30 364    , 1 659    
200065928,CA Lannion-Trégor Communauté, 67 562    , 2 807    
200066009,CA Mulhouse Alsace Agglomération, 131 907    , 7 219    
200066017,CC Lieuvin Pays d'Auge, 10 196    , 490    
200066025,CC Pays Rhin - Brisach, 14 144    , 565    
200066033,CC Sud Alsace Largue, 9 633    , 491    
200066041,CC Sundgau, 22 032    , 1 119    
200066058,CA Saint-Louis Agglomération, 37 423    , 1 636    
200066108,CC Haute Saulx et Perthois-Val d'Ornois, 8 733    , 341    
200066116,CC Argonne-Meuse, 4 024    , 170    
200066124,CA Gaillac-Graulhet, 35 672    , 1 918    
200066132,CC du Pays de Stenay et du Val Dunois, 5 870    , 251    
200066140,CC de l'Aire à l'Argonne, 3 514    , 193    
200066157,CC de Commercy - Void - Vaucouleurs, 11 784    , 579    
200066165,CC Val de Meuse - Voie Sacrée, 4 029    , 162    
200066173,CC de Damvillers Spincourt, 4 066    , 167    
200066223,CC Arize Lèze, 6 513    , 256    
