Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,,,,
Informations à l'échelle de la commune,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code commune,Nom commune,Code région,Code département,Siren EPCI,Logements,Établissements,Zones très denses,Engagements L. 33-13,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,OI 2018 T1
38003,Agnin,84,38,243800778, 436    , 25    , -    , -    , -    , 1    , -    ,
64007,Agnos,75,64,200067262, 417    , 9    , -    , -    , -    , -    , -    ,
62013,Agny,32,62,200033579, 829    , 16    , -    ,FRTE , -    , -    , -    ,
50003,Agon-Coutainville,28,50,200067023, 3 521    , 120    , -    , -    , -    , -    , -    ,
24002,Agonac,75,24,200040392, 828    , 31    , -    , -    , -    , 1    , -    ,
34005,Agonès,76,34,243400736, 129    , 1    , -    , -    , -    , 1    , 1    ,
03002,Agonges,84,03,200071496, 178    , 7    , -    , -    , -    , 1    , -    ,
65004,Agos-Vidalos,76,65,200070811, 227    , 22    , -    , -    , 1    , 1    , 1    ,
16003,Agris,75,16,200068914, 427    , 17    , -    , -    , -    , 1    , -    ,
17002,Agudelle,75,17,200041523, 72    , 2    , -    , -    , -    , 1    , -    ,
12002,Aguessac,76,12,241200567, 478    , 25    , -    , -    , -    , 1    , 1    ,
02005,Aguilcourt,32,02,240200576, 157    , 6    , -    , -    , -    , 1    , -    ,
81001,Aguts,76,81,248100158, 111    , 3    , -    , -    , -    , 1    , -    ,
14003,Agy,28,14,241400555, 116    , 5    , -    , -    , -    , 1    , -    ,
64008,Ahaxe-Alciette-Bascassan,75,64,200067106, 153    , 10    , -    , -    , -    , 1    , 1    ,
64009,Ahetze,75,64,200067106, 977    , 22    , -    , -    , -    , -    , -    ,
88002,Ahéville,44,88,200068369, 28    , 1    , -    , -    , -    , 1    , -    ,
53001,Ahuillé,52,53,245300330, 736    , 30    , -    , -    , -    , 1    , -    ,LTHD
23001,Ahun,75,23,200067189, 962    , 49    , -    , -    , -    , 1    , -    ,
21003,Ahuy,27,21,242100410, 646    , 67    , -    ,FRTE , -    , 1    , -    ,FRTE
59003,Aibes,32,59,200043396, 155    , 8    , -    , -    , -    , 1    , -    ,
25008,Aibre,27,25,247000722, 197    , 6    , -    , -    , -    , 1    , -    ,
64010,Aïcirits-Camou-Suhast,75,64,200067106, 355    , 32    , -    , -    , -    , -    , -    ,
79003,Aiffres,75,79,200041317, 2 399    , 83    , -    ,FRTE , -    , -    , -    ,FRTE
30001,Aigaliers,76,30,200034379, 291    , 14    , -    , -    , -    , 1    , -    ,
08003,Aiglemont,44,08,200041630, 736    , 24    , -    ,FRTE , -    , 1    , -    ,
